Country Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,1,4,4,5,5,11,15,12,12,24,0,0,30,35
ARG,0,0,0,1,1,2,4,7,7,15,19,36,34,38,0,0
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,2,3,3,11,12,12,11,24,25,24,24,42,36,42,40,51
AUT,0,0,0,1,2,3,3,6,7,12,14,0,0,0,0,31
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29
BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,0,0,0,1,2,3,4,7,8,17,16,27,0,0,38,44
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,0,0,0,0,0,0,0,0,0,6,5,0,0,0,12,15
BGR,0,0,0,0,2,3,3,8,10,16,18,0,0,0,0,28
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,0,0,6,10,11,0,0,0,0,32
BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,12,15,23,24,37,26,27,26,35,0,0,44,43
BRA,0,0,0,1,1,2,3,6,0,24,20,32,39,36,25,30
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,0,0,22,54,52,67,48,100,100,100,100,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,2,2,2,5,7,8,10,19,19,22,23,38,32,38,38,42
CHE,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,31
CHL,0,0,1,0,6,7,7,14,17,31,37,68,55,53,49,60
CHN,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMR,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,4,3,4,3,6,5,9,10,17,19,28,25,27
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZE,0,0,0,1,1,2,2,4,0,8,9,0,0,0,0,25
DEU,0,0,0,1,2,2,3,7,9,17,0,24,20,25,27,33
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,0,1,3,4,4,8,12,13,17,0,0,0,0,42
DOM,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,17
DZA,0,0,0,0,2,4,4,7,7,8,8,14,0,0,25,25
ECU,0,0,0,2,4,6,5,9,8,10,11,17,0,0,26,28
EGY,0,0,0,0,0,1,1,2,2,3,3,0,0,0,14,15
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,0,0,0,1,1,2,3,6,8,16,16,28,0,0,27,0
EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,0,1,1,3,3,6,6,13,14,20,23,37,0,0,0,51
FJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,0,1,1,3,4,5,6,12,14,23,21,33,33,39,41,49
FSM,0,0,0,0,0,0,0,12,0,16,15,0,28,0,36,38
GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,0,0,0,1,2,3,4,10,12,14,15,27,23,28,29,39
GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,0,0,0,1,1,2,4,9,9,0,0,0,26,36
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,0,0,0,10,10,0,0,0,28,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HKG,2,18,14,30,22,31,32,53,48,39,36,53,0,0,57,81
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,0,1,1,2,3,7,9,13,15,0,0,0,0,32
IDN,5,6,5,21,19,24,,34,32,36,44,65,75,73,44,45
IND,0,0,0,0,0,0,18,3,3,3,2,4,6,13,13,16
IRL,0,0,0,0,0,3,3,5,7,10,11,0,0,0,0,26
IRN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IRQ,0,0,0,0,0,0,0,0,0,4,5,10,0,0,26,25
