Chart date,Year,Rank,Artist
2009-10-31,2009,76,Wonder Girls
2012-09-22,2012,2,Psy
2013-04-27,2013,5,Psy
2014-06-28,2014,26,Psy feat. Snoop Dogg
2015-12-19,2015,97,Psy feat. CL
2016-10-22,2016,94,CL
2017-10-07,2017,67,BTS
2017-12-16,2017,28,BTS feat. Desiigner
2018-06-02,2018,10,BTS
2018-06-30,2018,55,Blackpink
2018-09-08,2018,11,BTS feat. Nicki Minaj
2018-11-03,2018,93,Blackpink  & Dua Lipa
2019-01-12,2019,32,Pinkfong
2019-04-20,2019,41,Blackpink
2019-04-27,2019,8,BTS feat. Halsey
2019-04-27,2019,76,BTS
2019-10-12,2019,81,J-Hope (BTS) feat. Becky G
2020-02-01,2020,57,BTS
2020-03-07,2020,4,BTS
2020-03-07,2020,84,BTS
2020-03-07,2020,87,BTS
2020-06-06,2020,76,Suga (BTS)
2020-06-13,2020,33,Blackpink & Lady Gaga
2020-06-27,2020,1,"BTS & Jawsh 685, Jason Derulo"
2020-07-11,2020,33,Blackpink
2020-09-05,2020,1,BTS
2020-09-12,2020,13,Blackpink and Selena Gomez
2020-10-17,2020,59,Blackpink
2020-12-05,2020,1,BTS
2020-12-05,2020,13,BTS
2020-12-05,2020,22,BTS
2020-12-05,2020,69,BTS
2020-12-05,2020,70,BTS
2020-12-05,2020,72,BTS
2021-03-27,2021,70,Rosé (Blackpink)
2021-04-17,2021,81,BTS
2021-06-05,2021,1,BTS
2021-07-24,2021,1,BTS
2021-09-25,2021,84,Lisa (Blackpink)
2021-10-09,2021,1,BTS & Coldplay
2021-10-16,2021,83,Twice
2021-11-06,2021,90,Lisa (Blackpink)
2021-12-25,2021,29,Juice Wrld & Suga (BTS)
2022-01-08,2022,79,V (BTS)
2022-02-26,2022,95,Jungkook (BTS)
2022-05-14,2022,80,Psy feat. Suga
2022-06-25,2022,13,BTS
2022-06-25,2022,73,BTS
2022-07-16,2022,82,J-Hope (BTS)
2022-07-30,2022,96,J-Hope (BTS)
2022-08-20,2022,10,"BTS, Benny Blanco & Snoop Dogg"
2022-09-03,2022,22,Blackpink
2022-10-01,2022,25,Blackpink
2022-11-12,2022,51,Jin (BTS)
2022-12-17,2022,83,RM (BTS) with Youjeen
2023-01-21,2023,85,NewJeans
2023-01-28,2023,76,Taeyang feat. Jimin
2023-01-28,2023,74,NewJeans
2023-02-04,2023,84,Twice
2023-03-18,2023,60,J-Hope (BTS) with J. Cole
2023-04-01,2023,30,Jimin (BTS)
2023-04-01,2023,17,Fifty Fifty
2023-04-08,2023,1,Jimin (BTS)
2023-05-06,2023,58,August D (BTS)
2023-06-24,2023,48,BTS
2023-07-22,2023,48,NewJeans
2023-07-29,2023,1,Jungkook (BTS) feat. Latto
2023-08-05,2023,81,NewJeans
2023-08-05,2023,93,NewJeans
2023-08-26,2023,96,V (BTS)
2023-09-23,2023,51,V (BTS)
2023-10-14,2023,5,Jungkook (BTS) & Jack Harlow
2023-11-04,2023,44,"The Kid Laroi, Jungkook (BTS) & Central Cee"
2023-11-18,2023,5,Jungkook (BTS)
2023-11-25,2023,90,Stray Kids
2023-12-30,2023,51,"The Weeknd, Jennie (Blackpink), Lily-Rose Depp"
2024-03-09,2024,99,Le Sserafim
2024-03-30,2024,65,V (BTS)
2024-04-20,2024,91,Illit
